"Field","Value"
"emaSignal",0
"macd",1
"signal",1
"histogram",1
"volume",1
"macrotrend",-1
"PriceNearUpperBand",false
"PriceNearMiddleBand",false
"PriceNearLowerBand",false
"BandsSqueezing",
"BandsFlat",
"LastCandlePrice",83629.12
