"Field","Value"
"emaSignal",1
"macd",1
"signal",1
"histogram",1
"volume",1
"macrotrend",-1
"PriceNearUpperBand",false
"PriceNearMiddleBand",false
"PriceNearLowerBand",false
"BandsSqueezing",false
"BandsFlat",false
"LastCandlePrice",83655.54
