"timestamp","bbMiddle","bbUpper","bbLower","bbPb","ema55","ema400","ema800","macd","signal","histogram","kalman","slope","support","resistance","trend","spikes"
"2025-01-12T11:30:00.000Z",94354.92499999999,94945.37432543465,93764.47567456533,0.4180920395422697,94370.72451309286,95551.20914374017,96153.95133452027,-1386.1693448243605,-1327.469393233427,-58.69995159093355,94275.45941572268,104974.23931387639,90172.43625788833,120247.09962870395,173.59388670447515,
"2025-01-12T11:00:00.000Z",94370.95249999998,94970.74975448869,93771.15524551128,0.42719831630903654,94375.31735036196,95557.69039258097,96158.69664449403,-1439.2306942072755,-1325.0734768419602,-114.15721736531532,94276.94069069104,104965.9928388874,90165.52204330554,120238.65693802107,169.27591978601413,
"2025-01-12T10:30:00.000Z",94374.5275,94972.3333000866,93776.7216999134,0.19440117514159916,94379.06009935633,95564.07671033827,96163.39020305347,-1528.1971627777239,-1320.4139985821514,-207.78316419557245,94277.35773317242,104957.74636389842,90158.60782872274,120230.21424733821,240.17779150162823,
"2025-01-12T10:00:00.000Z",94396.85699999999,94957.74700147644,93835.96699852354,0.08275508676576283,94394.15847075863,95571.87082918709,96168.78254398727,-1522.6265078462748,-1311.933053104781,-210.69345474149372,94289.1194758571,104949.49988890943,90151.69361413995,120221.77155665534,262.8978939654189,
"2025-01-12T09:30:00.000Z",94426.44,94921.85950929238,93931.02049070763,-0.026987724752524714,94413.1526940549,95580.10677319304,96174.38950905357,-1470.6402911818295,-1303.3333202581894,-167.30697092364016,94303.44588992979,104941.25341392044,90144.77939955716,120213.32886597246,271.77574579254724,
"2025-01-12T09:00:00.000Z",94461.36899999999,94864.28098580614,94058.45701419385,-0.06514699989478262,94433.92300809795,95588.50690739452,96180.07188579712,-1376.4471843777137,-1296.5044643021224,-79.9427200755913,94317.72336218675,104933.00693893146,90137.86518497435,120204.88617528959,249.04836344649084,
"2025-01-12T08:30:00.000Z",94494.934,94819.04875623996,94170.81924376002,-0.007820137254518562,94451.39088597949,95596.43947334637,96185.51396811451,-1281.3298888211866,-1293.2414961357717,11.911607314585126,94326.57792198316,104924.76046394247,90130.95097039155,120196.44348460672,211.56462240032852,
"2025-01-12T08:00:00.000Z",94516.465,94783.86958444321,94249.06041555679,0.1699476929919914,94463.04969765212,95603.61084915262,96190.56969769676,-1213.8214723648562,-1293.7276841894281,79.90621182457198,94327.79431403728,104916.51398895349,90124.03675580876,120188.00079392384,170.1799925926025,
"2025-01-12T07:30:00.000Z",94535.641,94805.56912873291,94265.7128712671,0.1120245026274157,94468.07417510731,95609.94498874737,96195.20203736558,-1195.235923565735,-1296.9891622230841,101.75323865734913,94321.15531762003,104908.2675139645,90117.12254122597,120179.55810324097,175.64840330014704,
"2025-01-12T07:00:00.000Z",94566.1805,94888.14025743047,94244.22074256954,0.22555498642068145,94473.86536592801,95616.37985084637,96199.88041543157,-1157.4112530739221,-1301.1423556376697,143.73110256374753,94314.86500765379,104900.02103897551,90110.20832664317,120171.11541255811,161.8258506510756,
"2025-01-12T06:30:00.000Z",94587.1865,94918.32752644067,94256.04547355932,0.18920115062084014,94477.31048290466,95622.52982503606,96204.41213111476,-1128.806928377424,-1307.0089312525163,178.20200287509238,94305.73466997035,104891.77456398653,90103.29411206038,120162.67272187523,165.809322988207,
