"timestamp","bbMiddle","bbUpper","bbLower","bbPb","ema55","ema400","ema800","macd","signal","histogram","kalman","slope","support","resistance","trend","pocPrice","vah","val","spikes"
"2025-01-24T14:40:00.000Z",105208.88999999998,105863.39138707834,104554.38861292163,1.2726950774811163,105273.88992270242,105093.98502745938,105050.6588373943,431.8333732702158,182.69793808566362,249.1354351845522,105192.62806076236,105499.65861838734,105045.7023164451,105769.13047743,-271.80519457615446,,,,932.8800000000047
"2025-01-24T14:35:00.000Z",105184.85749999997,105624.29866271937,104745.41633728056,0.735517877659775,105235.25889913925,105088.33908774739,105047.73094962806,90.21351334697101,172.52914481282474,-82.31563146585373,105158.96358366894,105494.50878657727,105042.00515393677,105764.33959887494,-65.99836122768465,,,,1370.3500000000058
"2025-01-24T14:30:00.000Z",105191.61799999997,105656.40621868134,104726.8297813186,0.13667538631018558,105228.86742563473,105086.81772979125,105046.8695752842,-14.913828149728943,175.88896650530856,-190.8027946550375,105162.7197059431,105489.3589547672,105038.30799142845,105759.5487203199,68.45298826665385,,,,713.3700000000099
"2025-01-24T14:25:00.000Z",105219.81749999998,105657.32059183726,104782.3144081627,0.5773165964564059,105244.17303484431,105087.98533745937,105047.35265306965,92.93051500289585,183.67683567490192,-90.74632067200608,105189.84213063537,105484.20912295712,105034.61082892011,105754.75784176485,-39.887844733311795,,,,
"2025-01-24T14:20:00.000Z",105228.43800000001,105683.9855894185,104772.89041058152,0.42311670434978466,105242.40581177674,105086.98541433887,105046.75160839649,40.65336435451172,187.38076713090214,-146.72740277639042,105198.81877891334,105479.05929114706,105030.91366641178,105749.96696320981,-7.847243698779494,,,,
"2025-01-24T14:15:00.000Z",105239.9135,105701.5556791601,104778.27132083989,0.4314582777995649,105245.83502858396,105086.62749661626,105046.47216311087,25.635671423806343,193.36964071361194,-167.7339692898056,105213.92550095927,105473.90945933698,105027.21650390346,105745.17608465475,-12.53385233139852,,,,
"2025-01-24T14:10:00.000Z",105246.9325,105708.8973751444,104784.96762485559,0.25217542250542824,105248.6597236282,105086.17635624843,105046.14636126635,-6.0966041883366415,200.21592517442033,-206.31252936275698,105228.71833042889,105468.75962752692,105023.51934139513,105740.38520609972,27.138252701843157,,,,
"2025-01-24T14:05:00.000Z",105266.35899999998,105716.4976448848,104816.22035511516,0.19178496097465977,105258.07603887832,105086.51829287123,105046.21691536214,24.621335218893364,208.63684474024714,-184.01550952135378,105250.48210497142,105463.60979571685,105019.82217888681,105735.59432754468,34.58933113288367,,,,
"2025-01-24T14:00:00.000Z",105282.7635,105704.2875518994,104861.2394481006,0.431826547333384,105269.06363230191,105087.00770787308,105046.36043705266,85.26173426209425,216.1476818635677,-130.88594760147345,105273.37529232014,105458.45996390677,105016.12501637849,105730.80344898962,-24.526055935712066,,,,
"2025-01-24T13:55:00.000Z",105287.577,105708.26195256991,104866.8920474301,0.30112552281959826,105270.85031117138,105086.31456355166,105045.91255329059,59.44459965110582,221.48996543913805,-162.04536578803223,105286.2810445155,105453.31013209671,105012.42785387015,105726.01257043458,1.5973773712175898,,,,
"2025-01-24T13:50:00.000Z",105301.991,105716.11609024297,104887.86590975702,0.38045761735674233,105276.99726264775,105086.14446111332,105045.72647707854,72.36928369081579,228.10406200191485,-155.73477831109906,105303.82313835541,105448.16030028663,105008.73069136182,105721.22169187953,-19.201595934282523,,,,
"2025-01-24T13:45:00.000Z",105304.9095,105715.88275380392,104893.93624619607,0.26348886673200916,105280.01837540888,105085.55881931438,105045.33285123894,50.721797891834285,234.46058356563316,-183.73878567379887,105317.9217754238,105443.01046847657,105005.0335288535,105716.43081332449,3.80782305583125,,,,
"2025-01-24T13:40:00.000Z",105308.84149999998,105710.31407567258,104907.36892432738,0.18950369825098998,105286.93708460924,105085.43375073952,105045.16970443353,63.7321750697738,241.9601258380331,-178.2279507682593,105335.94732510373,105437.86063666649,105001.33636634517,105711.63993476945,16.57890331262024,,,,
"2025-01-24T13:35:00.000Z",105329.603,105713.87530734696,104945.33069265305,0.2639915802776886,105296.21900643002,105085.56359410164,105045.13375876252,108.42029461229686,249.23473607347222,-140.81444146117536,105355.86578245458,105432.71080485643,104997.63920383685,105706.8490562144,-5.602904671104625,,,,
"2025-01-24T13:30:00.000Z",105342.674,105714.5853501898,104970.7626498102,0.2580552463535294,105302.25978220267,105085.24952690415,105044.87572061174,131.6163061667321,254.98226429637734,-123.36595812964524,105371.6880200781,105427.56097304636,104993.94204132853,105702.05817765936,-9.331865663989447,,,,
"2025-01-24T13:25:00.000Z",105357.01199999999,105718.22720036536,104995.79679963461,0.3866022250487717,105307.95569168033,105084.86125385606,105044.58076622029,159.08249575026275,260.01760952615876,-100.93511377589601,105386.6154298796,105422.41114123628,104990.2448788202,105697.26729910431,-37.65332222246798,,,,
