"Field","Value"
"emaSignal",0
"macd",1
"signal",1
"histogram",0
"volume",0
"macrotrend",1
"PriceNearUpperBand",false
"PriceNearMiddleBand",false
"PriceNearLowerBand",false
"BandsSqueezing",
"BandsFlat",
"LastCandlePrice",96666.8
