"index","timestamp","open","high","low","close","volume"
0,"2024-11-17T12:00:00.000Z",90691.75,91186.49,89931.27,90261.85,67.722179
1,"2024-11-17T16:00:00.000Z",90260.23,90630.43,89685.29,90044.17,63.284953
2,"2024-11-17T20:00:00.000Z",90043.45,90211.64,88717.87,89846.26,75.053163
3,"2024-11-18T00:00:00.000Z",89859.2,90931.18,89622.68,90663.06,61.1236
4,"2024-11-18T04:00:00.000Z",90663.31,92241,90442.62,91714.31,117.613956
5,"2024-11-18T08:00:00.000Z",91714.59,92205.97,90052.52,90270.81,106.990491
6,"2024-11-18T12:00:00.000Z",90272.23,92588.76,89379.23,92329.01,113.35849
7,"2024-11-18T16:00:00.000Z",92310.37,92562.56,89677.67,90611.13,109.657018
8,"2024-11-18T20:00:00.000Z",90628.98,91970.04,90239.04,90465.06,85.709866
9,"2024-11-19T00:00:00.000Z",90465.06,91529.09,90360,91413.17,73.703107
10,"2024-11-19T04:00:00.000Z",91422.98,92001.19,91233.81,91606.58,88.814462
11,"2024-11-19T08:00:00.000Z",91615.89,91938.27,91191.71,91648.31,80.068983
12,"2024-11-19T12:00:00.000Z",91648.3,92781.52,90981.37,92385.41,143.489014
13,"2024-11-19T16:00:00.000Z",92401.04,93896.39,92158,93200.93,118.160349
14,"2024-11-19T20:00:00.000Z",93223.67,93561.45,91334.21,92296.9,122.35655
15,"2024-11-20T00:00:00.000Z",92297.26,92415.58,91493.38,92036.14,77.707686
16,"2024-11-20T04:00:00.000Z",92036.09,92846.17,91875.68,92838.12,90.533613
17,"2024-11-20T08:00:00.000Z",92843.81,93659.27,92724.76,93449.34,121.653349
18,"2024-11-20T12:00:00.000Z",93449.3,94802.11,93309.81,94727.27,117.544002
19,"2024-11-20T16:00:00.000Z",94727.25,94817.33,93146.36,93998.93,123.268983
20,"2024-11-20T20:00:00.000Z",93999.24,94595.28,93772.7,94280.87,97.36213
21,"2024-11-21T00:00:00.000Z",94281.95,95905.31,94039.69,95792.54,151.214249
22,"2024-11-21T04:00:00.000Z",95792.6,97845.36,95792.53,96905.79,164.194041
23,"2024-11-21T08:00:00.000Z",96908.26,98367.76,96729.83,97966.52,192.934346
24,"2024-11-21T12:00:00.000Z",98000,98243.1,95608.63,96669.31,157.502824
25,"2024-11-21T16:00:00.000Z",96669.52,98956.53,96300,97827.37,146.868533
26,"2024-11-21T20:00:00.000Z",97821.09,98719.85,97536,98325.25,121.22845
27,"2024-11-22T00:00:00.000Z",98316.09,99287.54,97832.2,98832.01,123.017335
28,"2024-11-22T04:00:00.000Z",98832.05,99412.52,98507.45,99169.79,134.880475
29,"2024-11-22T08:00:00.000Z",99170.13,99253.88,98240,98844.65,140.338558
30,"2024-11-22T12:00:00.000Z",98867.24,98945.06,97142.51,98664.17,118.508286
31,"2024-11-22T16:00:00.000Z",98662.89,99575.77,98224.9,99062.66,158.492267
32,"2024-11-22T20:00:00.000Z",99070.94,99444.03,98559.97,98888.64,112.769391
33,"2024-11-23T00:00:00.000Z",98888.98,98903.47,98296.4,98663.66,110.362881
34,"2024-11-23T04:00:00.000Z",98662.37,98793.38,98278.71,98551.11,100.077652
35,"2024-11-23T08:00:00.000Z",98551.04,98612.63,98303.4,98422.68,108.715482
36,"2024-11-23T12:00:00.000Z",98422.64,98839.27,98387.68,98387.77,137.103777
37,"2024-11-23T16:00:00.000Z",98387.71,98451.34,97328,97500.37,130.279524
38,"2024-11-23T20:00:00.000Z",97500.4,98015.65,97131.11,97673.92,82.917745
39,"2024-11-24T00:00:00.000Z",97674.59,98555.12,97620.34,98198.77,112.091067
40,"2024-11-24T04:00:00.000Z",98198.81,98414.35,97881.6,98414.33,105.882512
41,"2024-11-24T08:00:00.000Z",98414.57,98440,97234.87,97273.64,95.472454
42,"2024-11-24T12:00:00.000Z",97273.58,97604.48,95915.75,95915.8,114.533826
43,"2024-11-24T16:00:00.000Z",95915.55,96745.16,95742.54,96320.74,110.230395
44,"2024-11-24T20:00:00.000Z",96320.76,98356.9,96198.46,97899.31,129.395307
45,"2024-11-25T00:00:00.000Z",97900.54,98051.36,96889.15,97888.93,69.6634
46,"2024-11-25T04:00:00.000Z",97889.35,98364.11,97555,98045.6,112.321149
47,"2024-11-25T08:00:00.000Z",98045.6,98869.73,97861.02,98188.75,121.34825
48,"2024-11-25T12:00:00.000Z",98187.53,98306.5,94599.01,95978.95,137.392818
49,"2024-11-25T16:00:00.000Z",96011,96498.8,94434,94675.19,121.849456
50,"2024-11-25T20:00:00.000Z",94667.98,95302.07,92610.08,93013.06,134.758759
51,"2024-11-26T00:00:00.000Z",93006.19,94921.9,92747.73,94466.6,108.596939
52,"2024-11-26T04:00:00.000Z",94466.64,94975.04,93512.65,93777.51,94.546552
53,"2024-11-26T08:00:00.000Z",93758.85,93761.05,91465.74,92387.18,137.99981
54,"2024-11-26T12:00:00.000Z",92339.89,93557.05,91745.34,92807.64,123.31039
55,"2024-11-26T16:00:00.000Z",92841.49,94671.1,91577.19,91688.97,128.612667
56,"2024-11-26T20:00:00.000Z",91625.97,92359.39,90799.77,91963.05,128.023478
57,"2024-11-27T00:00:00.000Z",91963.48,93035.87,91795.29,92586.71,99.54656
58,"2024-11-27T04:00:00.000Z",92586.32,93644.73,92363.33,93591.69,99.872147
59,"2024-11-27T08:00:00.000Z",93603.88,93877.65,93106.94,93355.49,94.197642
60,"2024-11-27T12:00:00.000Z",93362.71,95845.92,92851.91,95560,153.609254
61,"2024-11-27T16:00:00.000Z",95557.65,96623.11,95185.48,96622.37,162.39999
62,"2024-11-27T20:00:00.000Z",96621.92,97198.73,95745.58,95856.2,144.429612
63,"2024-11-28T00:00:00.000Z",95855.91,96557.73,94820.61,95460.11,113.339306
64,"2024-11-28T04:00:00.000Z",95468.48,95915.73,95067.09,95300.94,114.646003
65,"2024-11-28T08:00:00.000Z",95302.31,95772.69,94640.75,95454.37,107.854833
